audio_path,audio_length,mean,std,max_out,min_out
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/1_nicolas_39.wav,7566,-0.006973419,0.051627252,0.19821551,-0.3692279
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/1_nicolas_38.wav,6764,-0.006997088,0.047588658,0.15739074,-0.27197635
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/7_lucas_15.wav,19234,-8.711944e-06,0.040020358,0.2861098,-0.44684592
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/4_george_9.wav,11965,-2.1894171e-05,0.10715777,0.4058578,-0.4122175
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/8_jackson_19.wav,8371,1.1993982e-05,0.07646793,0.36448202,-0.3555793
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/1_yweweler_47.wav,7776,-2.1302845e-05,0.014859939,0.07681787,-0.093931444
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/0_yweweler_36.wav,10014,-1.3673837e-05,0.010566207,0.025685336,-0.03733767
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/9_jackson_20.wav,13082,1.2367048e-05,0.073593505,0.35945258,-0.34345028
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/2_theo_7.wav,5615,-1.5386293e-05,0.007273851,0.037663713,-0.03805496
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/8_theo_30.wav,8964,-8.623245e-07,0.043733817,0.29042813,-0.14651296
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/0_jackson_44.wav,14664,-3.4134675e-05,0.12681052,0.6175685,-0.61761546
/home/hiddenmist/Aman_Lakshay/EDA/free-spoken-digit-dataset-master/recordings/2_yweweler_45.wav,5607,1.1119929e-05,0.014822095,0.069670096,-0.08497721
